ID_Prospect,Nombre del jugador,Nacimiento,Posición,Equipo,Liga,Experiencia universitaria,Pred_Score,Age,Predicted_Pick
cameron-boozer,Cameron Boozer,2007-07-18,F,Duke,College,Freshman,1.2998317,19,1
aj-dybantsa,AJ Dybantsa,2007-01-29,F,Brigham Young,College,Freshman,1.2976143,19,2
keaton-wagler,Keaton Wagler,2007-02-03,G,Illinois,College,Freshman,1.2871733,19,3
darryn-peterson,Darryn Peterson,2007-01-17,G,Kansas,College,Freshman,1.2791419,19,4
kingston-flemings,Kingston Flemings,2007-01-03,G,Houston,College,Freshman,1.2773465,19,5
ebuka-okorie,Ebuka Okorie,2007-04-10,G,Stanford,College,Freshman,1.2645973,19,6
koa-peat,Koa Peat,2007-01-20,F,Arizona,College,Freshman,1.0408403,19,7
darius-acuff,Darius Acuff,2006-11-16,G,Arkansas,College,Freshman,0.99934083,20,8
caleb-wilson,Caleb Wilson,2006-07-18,F,North Carolina,College,Freshman,0.99406475,20,9
karim-lopez,Karim Lopez,2007-04-12,F,Breakers,Australia,No corresponde,0.9787773,19,10
mikel-brown,Mikel Brown Jr.,2006-04-03,G,Louisville,College,Freshman,0.97429436,20,11
hannes-steinbach,Hannes Steinbach,2006-05-01,C,Washington,College,Freshman,0.9256384,20,12
morez-johnson-jr,Morez Johnson Jr.,2006-01-25,C,Michigan,College,Sophomore,0.8839015,20,13
allen-graves,Allen Graves,2006-07-28,F,Santa Clara,College,Freshman,0.84169596,20,14
nate-ament,Nate Ament,2006-12-10,F,Tennessee,College,Freshman,0.7718469,20,15
aday-mara,Aday Mara,2005-04-07,C,Michigan,College,Junior,0.6768117,21,16
chris-cenac-jr,Chris Cenac Jr.,2007-02-01,C,Houston,College,Freshman,0.6683005,19,17
christian-anderson,Christian Anderson,2006-04-02,G,Texas Tech,College,Sophomore,0.6679929,20,18
luigi-suigo,Luigi Suigo,2007-01-29,C,KK Mega Leks,Serbia,No corresponde,0.6498617,19,19
brayden-burries,Brayden Burries,2005-09-18,G,Arizona,College,Freshman,0.63751173,21,20
dailyn-swain,Dailyn Swain,2005-07-15,F,Texas,College,Junior,0.5571488,21,21
meleek-thomas,Meleek Thomas,2006-08-06,G,Arkansas,College,Freshman,0.5560615,20,22
yaxel-lendeborg,Yaxel Lendeborg,2002-09-30,F,Michigan,College,Senior,0.45467114,24,23
pavle-backo,Pavle Backo,2007-07-11,C,KK Mega Leks,Serbia,No corresponde,0.45336393,19,24
zuby-ejiofor-2,Zuby Ejiofor,2004-04-20,C,St. John's (NY),College,Senior,0.42970338,22,25
labaron-philon,Labaron Philon Jr.,2005-11-24,G,Alabama,College,Sophomore,0.40342924,21,26
mark-mitchell,Mark Mitchell,2003-09-01,F,Missouri,College,Senior,0.34177017,23,27
francesco-ferrari,Francesco Ferrari,2005-08-18,F,Virtus Pallacanestro Bologna,Italy,No corresponde,0.33866793,21,28
izaiyah-nelson,Izaiyah Nelson,2003-10-01,F,South Florida,College,Senior,0.32834178,23,29
jack-kayil,Jack Kayil,2006-01-27,G,ALBA Berlín,Germany,No corresponde,0.29371503,20,30
malik-reneau,Malik Reneau,2003-04-01,F,Miami (FL),College,Senior,0.29122552,23,31
cameron-carr,Cameron Carr,2004-11-21,G,Baylor,College,Junior,0.28440922,22,32
trevon-brazile-2,Trevon Brazile,2003-01-07,F,Arkansas,College,Senior,0.27689862,23,33
rafael-castro,Rafael Castro,2003-03-30,C,George Washington,College,Senior,0.26569155,23,34
